     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     10000,        13,         0,   0.440,mem-bp,18cd0b8abb35f5744a91735e70e73fb5337d99ad717c23d6dc440deaef74b479,"{""circuit"":""rotated_surface_code_memory_Z"",""d"":5,""decoder_params"":{""alpha"":1.0,""gamma0"":0.0,""max_iter"":80},""p"":0.001,""r"":5,""xyz"":false}",
     10000,         5,         0,   0.377,mem-bp,c7f910d69e45771b6e2cc6a3636ff648acb6083a1d11d3dad842e76a50330e1d,"{""circuit"":""rotated_surface_code_memory_Z"",""d"":5,""decoder_params"":{""alpha"":1.0,""gamma0"":0.1,""max_iter"":80},""p"":0.001,""r"":5,""xyz"":false}",
     10000,         8,         0,   0.500,mem-bp,0685f408e2c1953cc6e78d3c6dd123e1d87c99330b7c62085e99e58b10b244aa,"{""circuit"":""rotated_surface_code_memory_Z"",""d"":5,""decoder_params"":{""alpha"":1.0,""gamma0"":0.2,""max_iter"":80},""p"":0.001,""r"":5,""xyz"":false}",
     10000,         3,         0,   0.333,mem-bp,92cca39a88e884f40810abfce0580ab24235c3081c45b250e4199cf95fa85630,"{""circuit"":""rotated_surface_code_memory_Z"",""d"":5,""decoder_params"":{""alpha"":1.0,""gamma0"":0.30000000000000004,""max_iter"":80},""p"":0.001,""r"":5,""xyz"":false}",
     10000,        10,         0,   0.379,mem-bp,3d24f8ed97163f3145fc426d0d4f1c4e7a553dbc49257fa04e9b20a1c1f0db28,"{""circuit"":""rotated_surface_code_memory_Z"",""d"":5,""decoder_params"":{""alpha"":1.0,""gamma0"":0.4,""max_iter"":80},""p"":0.001,""r"":5,""xyz"":false}",
     10000,         3,         0,   0.307,mem-bp,fff87f942677f4c5a674b18cd1c2cd98e7802bd19a5f3c22d15cd083b855835c,"{""circuit"":""rotated_surface_code_memory_Z"",""d"":5,""decoder_params"":{""alpha"":1.0,""gamma0"":0.5,""max_iter"":80},""p"":0.001,""r"":5,""xyz"":false}",
     10000,         4,         0,   0.296,mem-bp,e7e69ba56314d2882ba35132b80fa23ee3a2a5ee2fd01c757485af32d751beda,"{""circuit"":""rotated_surface_code_memory_Z"",""d"":5,""decoder_params"":{""alpha"":1.0,""gamma0"":0.6000000000000001,""max_iter"":80},""p"":0.001,""r"":5,""xyz"":false}",
     10000,         3,         0,   0.324,mem-bp,5b709b073ed5b5fba25425c2bc318b371a906014a6c95da0d91c7c36743efabc,"{""circuit"":""rotated_surface_code_memory_Z"",""d"":5,""decoder_params"":{""alpha"":1.0,""gamma0"":0.7000000000000001,""max_iter"":80},""p"":0.001,""r"":5,""xyz"":false}",
     10000,         8,         0,   0.350,mem-bp,035c35f79e542d30a83002fd6fcf22d0c39b09b6d171d0c4750edcd227230f3f,"{""circuit"":""rotated_surface_code_memory_Z"",""d"":5,""decoder_params"":{""alpha"":1.0,""gamma0"":0.8,""max_iter"":80},""p"":0.001,""r"":5,""xyz"":false}",
     10000,        14,         0,   0.399,mem-bp,4452b3e18af5487f282f552fad3bea1274522b1e828f5972675da48b56ec7845,"{""circuit"":""rotated_surface_code_memory_Z"",""d"":5,""decoder_params"":{""alpha"":1.0,""gamma0"":0.9,""max_iter"":80},""p"":0.001,""r"":5,""xyz"":false}",
     10000,        15,         0,   0.386,mem-bp,01fc2236f7568bf0bca824b74e836d12c121f4d9986062a434fcd77f6ae2146b,"{""circuit"":""rotated_surface_code_memory_Z"",""d"":5,""decoder_params"":{""alpha"":1.0,""gamma0"":1.0,""max_iter"":80},""p"":0.001,""r"":5,""xyz"":false}",
